@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
2680,'2017/04/09 16:42:00:106',23,0.662842,-0.194519,0.107178,-0.715088,-1.524747,0.136536,-0.427959,1,-1
2681,'2017/04/09 16:42:00:122',23,0.66272,-0.194336,0.107178,-0.71521,-1.524275,0.136346,-0.427657,1,-1
2682,'2017/04/09 16:42:00:136',23,0.66272,-0.194336,0.107239,-0.71521,-1.524276,0.136265,-0.427748,1,-1
2683,'2017/04/09 16:42:00:158',23,0.662537,-0.194275,0.107178,-0.715393,-1.523736,0.13637,-0.427533,1,-1
2684,'2017/04/09 16:42:00:181',23,0.662354,-0.194275,0.107117,-0.715576,-1.523245,0.136563,-0.427413,1,-1
2685,'2017/04/09 16:42:00:197',23,0.662292,-0.194214,0.106934,-0.715698,-1.523033,0.136781,-0.427047,1,-1
2686,'2017/04/09 16:42:00:218',23,0.662292,-0.194214,0.10675,-0.715759,-1.523034,0.137049,-0.426786,1,-1
2687,'2017/04/09 16:42:00:249',23,0.662109,-0.194214,0.106445,-0.715942,-1.522538,0.137569,-0.4263,1,-1
2688,'2017/04/09 16:42:00:257',23,0.661987,-0.19397,0.106079,-0.716187,-1.522019,0.137827,-0.425381,1,-1
2689,'2017/04/09 16:42:00:278',23,0.66217,-0.193542,0.105774,-0.716125,-1.522172,0.137554,-0.424321,1,-1
2690,'2017/04/09 16:42:00:301',23,0.662231,-0.193176,0.10553,-0.716248,-1.522054,0.137386,-0.423438,1,-1
2691,'2017/04/09 16:42:00:317',23,0.662231,-0.192627,0.105103,-0.716492,-1.521628,0.137257,-0.422001,1,-1
2692,'2017/04/09 16:42:00:339',23,0.662292,-0.191956,0.104736,-0.716675,-1.521273,0.136834,-0.420479,1,-1
2693,'2017/04/09 16:42:00:361',23,0.662354,-0.191467,0.104492,-0.716797,-1.521062,0.136488,-0.419409,1,-1
2694,'2017/04/09 16:42:00:377',23,0.66217,-0.191284,0.104187,-0.71698,-1.520422,0.13674,-0.418643,1,-1
2695,'2017/04/09 16:42:00:400',23,0.66217,-0.191101,0.104126,-0.717041,-1.520282,0.136581,-0.418283,1,-1
2696,'2017/04/09 16:42:00:421',23,0.662292,-0.191162,0.104004,-0.71698,-1.520658,0.136783,-0.418225,1,-1
2697,'2017/04/09 16:42:00:437',23,0.662415,-0.191284,0.103943,-0.716797,-1.521075,0.136945,-0.41833,1,-1
2698,'2017/04/09 16:42:00:458',23,0.662537,-0.191284,0.103943,-0.716675,-1.521402,0.136872,-0.418349,1,-1
2699,'2017/04/09 16:42:00:481',23,0.662781,-0.191345,0.103821,-0.716492,-1.522105,0.137002,-0.418312,1,-1
2700,'2017/04/09 16:42:00:497',23,0.663025,-0.191284,0.10376,-0.716248,-1.52271,0.13685,-0.418166,1,-1
2701,'2017/04/09 16:42:00:518',23,0.663025,-0.191101,0.103577,-0.71637,-1.522572,0.136877,-0.417635,1,-1
2702,'2017/04/09 16:42:00:541',23,0.662964,-0.190796,0.103516,-0.716492,-1.522173,0.136577,-0.417077,1,-1
2703,'2017/04/09 16:42:00:557',23,0.663086,-0.190491,0.103271,-0.716492,-1.522266,0.136437,-0.416287,1,-1
